"","startq","test1","allP"
"1"," 0.005","12.07","19.49"
"2"," 0.005","13.09","17.56"
"3"," 0.005","16.54","20.09"
"4"," 0.010","13.78","17.78"
"5"," 0.010","12.58","15.93"
"6"," 0.010","14.74","19.31"
"7"," 0.050","12.54","15.39"
"8"," 0.050","11.13","14.9"
"9"," 0.050","12.93","16.48"
"10"," 0.100","11.15","14.03"
"11"," 0.100","11.19","13.84"
"12"," 0.100","11.9","14.93"
"13"," 0.500","10.85","13.21"
"14"," 0.500","11.12","12.98"
"15"," 0.500","11.12","12.36"
"16"," 1.000","10.33","12.04"
"17"," 1.000","10.78","11.98"
"18"," 1.000","10.07","11.24"
"19","10.000","7.76","8.73"
"20","10.000","7.67","8.68"
"21","10.000","8.08","8.64"
"22"," 5.000","8.68","10.07"
"23"," 5.000","9.7","10.39"
"24"," 5.000","9.8","8.98"
"25","50.000","8.66","7.4"
"26","50.000","10.25","7.91"
"27","50.000","9.25","8.16"
