"","adj_val","ratio"
"1",-3.66666666666667,7.51612903225806
"2",-3.66666666666667,4.11764705882353
"3",-3.66666666666667,1.36571428571429
"4",-5.33333333333333,3.04285714285714
"5",-5.33333333333333,3.84615384615385
"6",-5.33333333333333,2.14953271028037
"7",-9.66666666666667,3.62162162162162
"8",-9.66666666666667,6.82352941176471
"9",-9.66666666666667,3.60416666666667
"10",9.66666666666667,4.5
"11",9.66666666666667,3.89473684210526
"12",9.66666666666667,4.33333333333333
"13",16.6666666666667,3.66666666666667
"14",16.6666666666667,3.125
"15",16.6666666666667,2.125
"16",5.33333333333333,3
"17",5.33333333333333,2
"18",5.33333333333333,5
"19",5,1.02375296912114
"20",5,1.02380952380952
"21",5,1.01182033096927
"22",-7.33333333333333,0.00930232558139535
"23",-7.33333333333333,0.0252293577981651
"24",-7.33333333333333,0.988584474885845
"25",-3.33333333333333,0.976689976689977
"26",-3.33333333333333,52.75
"27",-3.33333333333333,0.976958525345622
